Order ID,Order Date,Category,Sub-Category,Region,Segment,Ship Mode,Sales,Quantity,Discount,Profit,Product Name
ORD-1034,2023-10-22,Technology,Phones,East,Corporate,Second Class,352.33,6,0.0,71.06,Phones 15
ORD-1035,2023-12-12,Office Supplies,Storage,East,Home Office,Same Day,297.77,1,0.3,-35.44,Storage 6
ORD-1036,2023-12-10,Furniture,Tables,West,Home Office,Standard Class,1104.24,4,0.3,-63.21,Tables 19
ORD-1037,2023-09-12,Office Supplies,Storage,East,Consumer,Second Class,539.18,2,0.0,-13.88,Storage 1
ORD-1038,2023-05-01,Technology,Accessories,South,Consumer,First Class,517.59,6,0.3,-152.76,Accessories 5
ORD-1039,2023-05-22,Office Supplies,Binders,East,Consumer,Second Class,868.22,4,0.1,-37.51,Binders 28
ORD-1040,2023-12-16,Furniture,Bookcases,West,Corporate,Same Day,129.42,6,0.1,7.91,Bookcases 21
ORD-1041,2023-06-05,Technology,Phones,South,Corporate,Same Day,956.11,5,0.2,-225.24,Phones 31
ORD-1042,2023-04-16,Office Supplies,Paper,South,Home Office,Second Class,1870.2,1,0.3,-285.0,Paper 49
ORD-1043,2023-11-05,Technology,Accessories,South,Home Office,Standard Class,1168.07,1,0.0,225.86,Accessories 33
ORD-1044,2023-02-19,Office Supplies,Storage,West,Home Office,First Class,431.79,5,0.3,-138.07,Storage 17
ORD-1045,2023-09-07,Office Supplies,Binders,South,Corporate,Standard Class,1697.51,2,0.1,160.14,Binders 45
ORD-1046,2023-04-10,Technology,Phones,East,Consumer,Same Day,126.41,1,0.0,30.37,Phones 35
ORD-1047,2023-08-23,Furniture,Bookcases,West,Consumer,Same Day,854.6,2,0.0,156.33,Bookcases 49
ORD-1048,2023-01-20,Technology,Phones,South,Consumer,Second Class,1492.82,3,0.0,94.52,Phones 13
ORD-1049,2023-12-09,Technology,Computers,Central,Corporate,First Class,808.94,4,0.0,179.27,Computers 19
ORD-1050,2023-04-27,Office Supplies,Storage,East,Consumer,First Class,212.4,5,0.2,-14.71,Storage 16
ORD-1051,2023-10-05,Furniture,Bookcases,Central,Home Office,Standard Class,227.85,2,0.1,-30.24,Bookcases 43
ORD-1052,2023-01-06,Technology,Accessories,Central,Corporate,Standard Class,1938.87,1,0.1,196.0,Accessories 40
ORD-1053,2023-05-06,Office Supplies,Binders,Central,Consumer,Standard Class,1652.63,2,0.1,-207.56,Binders 22
ORD-1054,2023-12-19,Furniture,Bookcases,East,Corporate,First Class,1820.0,5,0.3,-445.78,Bookcases 27
ORD-1055,2023-02-28,Office Supplies,Paper,West,Corporate,Same Day,693.99,6,0.2,-120.68,Paper 28
ORD-1056,2023-09-28,Furniture,Bookcases,East,Consumer,Same Day,1315.96,1,0.2,-98.68,Bookcases 33
ORD-1057,2023-05-16,Office Supplies,Binders,West,Consumer,First Class,1928.28,4,0.0,464.65,Binders 37
ORD-1058,2023-01-21,Technology,Computers,West,Corporate,First Class,1940.14,2,0.2,-118.7,Computers 16
ORD-1059,2023-06-12,Technology,Phones,South,Consumer,Same Day,1834.75,2,0.3,-610.31,Phones 28
ORD-1060,2023-04-27,Office Supplies,Paper,West,Home Office,Standard Class,497.32,4,0.3,-120.3,Paper 9
ORD-1061,2023-03-06,Furniture,Chairs,West,Home Office,Same Day,1636.9,4,0.3,-493.06,Chairs 5
ORD-1062,2023-05-23,Technology,Phones,South,Consumer,Second Class,865.57,6,0.1,13.4,Phones 1
ORD-1063,2023-06-27,Office Supplies,Storage,Central,Consumer,Standard Class,343.31,5,0.1,-12.27,Storage 33
ORD-1064,2023-06-28,Office Supplies,Binders,East,Consumer,First Class,858.9,1,0.0,-28.42,Binders 5
ORD-1065,2023-10-19,Office Supplies,Storage,East,Consumer,Second Class,1133.09,5,0.0,264.5,Storage 9
ORD-1066,2023-01-08,Office Supplies,Binders,South,Corporate,Same Day,1910.4,5,0.3,-537.6,Binders 31
ORD-1067,2023-02-12,Technology,Accessories,East,Corporate,Same Day,1021.42,6,0.1,101.54,Accessories 5
ORD-1068,2023-07-15,Office Supplies,Paper,East,Consumer,Second Class,1594.04,1,0.3,-328.35,Paper 2
ORD-1069,2023-02-18,Technology,Computers,West,Home Office,First Class,1811.14,4,0.1,-81.18,Computers 34
ORD-1070,2023-03-17,Furniture,Tables,East,Consumer,Same Day,929.28,4,0.1,34.04,Tables 10
ORD-1071,2023-06-21,Furniture,Tables,West,Consumer,Second Class,1549.39,4,0.3,-520.97,Tables 43
ORD-1072,2023-11-22,Technology,Computers,South,Consumer,First Class,197.93,1,0.2,-41.88,Computers 32
ORD-1073,2023-03-21,Technology,Computers,East,Corporate,Same Day,1351.74,2,0.0,10.39,Computers 42
ORD-1074,2023-10-14,Furniture,Tables,West,Consumer,Second Class,222.97,1,0.0,19.67,Tables 26
ORD-1075,2023-08-11,Furniture,Bookcases,Central,Consumer,Standard Class,126.66,1,0.2,-7.81,Bookcases 26
ORD-1076,2023-08-22,Furniture,Chairs,West,Corporate,Same Day,1214.69,4,0.2,-108.14,Chairs 23
ORD-1077,2023-07-03,Office Supplies,Paper,Central,Home Office,Second Class,1507.57,6,0.2,-262.72,Paper 43
ORD-1078,2023-09-23,Technology,Phones,East,Corporate,First Class,1741.07,6,0.2,-227.82,Phones 17
ORD-1079,2023-04-25,Technology,Accessories,South,Corporate,First Class,688.62,4,0.0,149.54,Accessories 41
ORD-1080,2023-08-17,Furniture,Tables,South,Home Office,Second Class,219.49,6,0.1,3.8,Tables 41
ORD-1081,2023-06-05,Furniture,Tables,East,Consumer,Standard Class,1804.31,2,0.2,-258.32,Tables 22
ORD-1082,2023-08-23,Furniture,Tables,East,Home Office,First Class,762.45,4,0.1,-71.69,Tables 31
ORD-1083,2023-06-22,Furniture,Bookcases,East,Corporate,Same Day,1798.39,4,0.3,-134.49,Bookcases 38
ORD-1084,2023-12-05,Technology,Accessories,West,Corporate,Second Class,1862.28,3,0.3,-385.52,Accessories 4
ORD-1085,2023-06-05,Technology,Phones,West,Home Office,First Class,1485.68,4,0.2,-56.2,Phones 36
ORD-1086,2023-05-23,Furniture,Bookcases,West,Corporate,Standard Class,1208.07,6,0.1,-16.57,Bookcases 40
ORD-1087,2023-08-06,Office Supplies,Binders,Central,Home Office,Second Class,320.71,1,0.0,-4.81,Binders 31
ORD-1088,2023-08-11,Furniture,Chairs,East,Corporate,Same Day,1669.71,4,0.1,-188.19,Chairs 35
ORD-1089,2023-08-11,Technology,Phones,East,Consumer,Second Class,1495.19,6,0.3,-145.71,Phones 30
ORD-1090,2023-04-25,Technology,Phones,East,Corporate,Standard Class,413.49,3,0.2,-24.76,Phones 18
ORD-1091,2023-01-25,Technology,Accessories,East,Consumer,First Class,1804.35,5,0.1,21.53,Accessories 2
ORD-1092,2023-06-03,Office Supplies,Binders,Central,Home Office,Same Day,1817.62,3,0.2,-390.66,Binders 42
ORD-1093,2023-04-06,Technology,Computers,East,Consumer,Standard Class,1259.14,4,0.1,148.79,Computers 37
ORD-1094,2023-05-27,Technology,Computers,West,Consumer,Second Class,329.1,4,0.1,21.13,Computers 38
ORD-1095,2023-08-05,Furniture,Bookcases,East,Home Office,Same Day,788.7,5,0.3,-133.14,Bookcases 12
ORD-1096,2023-10-11,Furniture,Tables,Central,Consumer,Same Day,73.8,3,0.2,-5.93,Tables 11
ORD-1097,2023-10-14,Office Supplies,Paper,Central,Corporate,Standard Class,717.92,6,0.3,-160.04,Paper 40
ORD-1098,2023-04-16,Office Supplies,Paper,South,Consumer,Same Day,1242.34,4,0.2,36.82,Paper 37
ORD-1099,2023-08-09,Technology,Accessories,West,Home Office,First Class,1553.93,2,0.0,120.02,Accessories 1
ORD-1100,2023-09-01,Office Supplies,Binders,Central,Corporate,First Class,1970.44,6,0.3,-615.96,Binders 40
ORD-1101,2023-09-21,Technology,Phones,West,Consumer,First Class,789.65,5,0.0,9.22,Phones 25
ORD-1102,2023-01-11,Office Supplies,Storage,Central,Home Office,First Class,1849.77,2,0.2,-53.18,Storage 24
ORD-1103,2023-11-22,Furniture,Bookcases,West,Corporate,Standard Class,372.75,5,0.3,-95.63,Bookcases 49
ORD-1104,2023-12-08,Technology,Phones,East,Home Office,Standard Class,1924.09,1,0.3,-434.1,Phones 32
ORD-1105,2023-01-13,Furniture,Tables,East,Corporate,Same Day,1512.42,3,0.3,-121.88,Tables 40
ORD-1106,2023-06-28,Technology,Accessories,East,Corporate,Second Class,623.39,3,0.2,-57.17,Accessories 38
ORD-1107,2023-10-10,Technology,Computers,Central,Corporate,Second Class,250.81,5,0.2,8.49,Computers 33
ORD-1108,2023-01-25,Technology,Computers,Central,Home Office,Same Day,354.5,2,0.2,-18.55,Computers 23
ORD-1109,2023-03-19,Technology,Computers,East,Home Office,Same Day,88.44,6,0.0,16.8,Computers 34
ORD-1110,2023-04-05,Technology,Accessories,West,Consumer,Second Class,1226.23,6,0.2,47.57,Accessories 31
ORD-1111,2023-03-04,Technology,Accessories,East,Corporate,Second Class,75.35,1,0.2,0.33,Accessories 1
ORD-1112,2023-07-23,Technology,Phones,South,Consumer,Standard Class,716.54,2,0.2,-97.52,Phones 38
ORD-1113,2023-06-12,Office Supplies,Binders,South,Consumer,Second Class,900.45,4,0.2,31.1,Binders 30
ORD-1114,2023-09-08,Technology,Accessories,West,Consumer,Standard Class,968.58,1,0.1,-138.76,Accessories 39
ORD-1115,2023-02-23,Furniture,Tables,East,Home Office,Second Class,1307.86,6,0.3,-405.85,Tables 18
ORD-1116,2023-09-06,Furniture,Tables,West,Home Office,Standard Class,1174.21,6,0.1,19.08,Tables 42
ORD-1117,2023-12-13,Office Supplies,Binders,East,Consumer,First Class,564.18,6,0.2,-39.93,Binders 10
ORD-1118,2023-02-28,Furniture,Chairs,West,Home Office,Standard Class,866.6,4,0.1,4.92,Chairs 36
ORD-1119,2023-04-17,Technology,Accessories,Central,Home Office,Same Day,183.09,3,0.3,-40.07,Accessories 35
ORD-1120,2023-01-26,Office Supplies,Paper,South,Home Office,Same Day,823.47,6,0.1,57.45,Paper 19
ORD-1121,2023-09-26,Technology,Computers,West,Consumer,Standard Class,1700.5,3,0.0,-6.12,Computers 9
ORD-1122,2023-07-03,Furniture,Chairs,Central,Corporate,Standard Class,1016.21,3,0.3,-223.11,Chairs 44
ORD-1123,2023-11-27,Technology,Accessories,East,Consumer,Standard Class,60.24,4,0.2,-9.37,Accessories 10
ORD-1124,2023-03-08,Furniture,Bookcases,Central,Consumer,Standard Class,1066.54,4,0.1,146.6,Bookcases 23
ORD-1125,2023-11-26,Furniture,Tables,East,Consumer,Second Class,1292.6,1,0.1,-4.1,Tables 47
ORD-1126,2023-07-14,Office Supplies,Storage,Central,Consumer,First Class,1998.74,2,0.0,183.81,Storage 9
ORD-1127,2023-04-07,Technology,Accessories,Central,Corporate,First Class,872.44,5,0.1,64.14,Accessories 42
ORD-1128,2023-02-03,Technology,Phones,East,Home Office,Same Day,1317.83,3,0.3,-413.57,Phones 26
ORD-1129,2023-09-13,Technology,Computers,West,Consumer,Same Day,177.44,1,0.3,-20.01,Computers 45
ORD-1130,2023-11-23,Office Supplies,Paper,East,Consumer,Second Class,864.14,3,0.1,127.12,Paper 32
ORD-1131,2023-05-12,Technology,Computers,East,Home Office,Standard Class,1995.97,4,0.0,359.59,Computers 10
ORD-1132,2023-01-03,Office Supplies,Binders,East,Corporate,Same Day,705.92,4,0.0,119.78,Binders 30
ORD-1133,2023-09-15,Office Supplies,Paper,East,Consumer,Same Day,505.54,1,0.3,-174.23,Paper 4
ORD-1134,2023-07-24,Technology,Accessories,Central,Corporate,Same Day,1606.08,5,0.2,-117.94,Accessories 11
ORD-1135,2023-04-22,Office Supplies,Binders,East,Home Office,Standard Class,1978.91,4,0.3,-555.08,Binders 46
ORD-1136,2023-03-24,Office Supplies,Storage,West,Consumer,Standard Class,394.23,2,0.0,2.34,Storage 47
ORD-1137,2023-11-10,Technology,Phones,Central,Corporate,Second Class,1060.61,4,0.1,7.96,Phones 17
ORD-1138,2023-04-14,Technology,Computers,East,Corporate,First Class,487.66,5,0.2,-116.81,Computers 41
ORD-1139,2023-12-10,Technology,Computers,East,Home Office,Same Day,302.55,1,0.2,11.1,Computers 25
ORD-1140,2023-11-05,Furniture,Bookcases,South,Corporate,Second Class,219.62,4,0.2,-54.57,Bookcases 6
ORD-1141,2023-03-26,Furniture,Chairs,Central,Corporate,Same Day,1794.24,5,0.0,-56.6,Chairs 27
ORD-1142,2023-01-27,Furniture,Chairs,Central,Consumer,Standard Class,1481.12,3,0.3,-225.82,Chairs 43
ORD-1143,2023-12-07,Furniture,Chairs,East,Home Office,Standard Class,1863.68,4,0.2,-75.11,Chairs 31
ORD-1144,2023-02-04,Technology,Accessories,West,Corporate,Standard Class,301.3,3,0.0,52.14,Accessories 29
ORD-1145,2023-01-08,Technology,Accessories,Central,Corporate,Same Day,609.72,6,0.2,27.04,Accessories 24
ORD-1146,2023-09-02,Furniture,Bookcases,Central,Home Office,Second Class,300.48,3,0.1,-43.41,Bookcases 37
ORD-1147,2023-01-12,Furniture,Tables,West,Consumer,Second Class,1877.6,4,0.1,251.95,Tables 1
ORD-1148,2023-12-04,Office Supplies,Paper,Central,Home Office,Same Day,195.65,2,0.1,28.77,Paper 12
ORD-1149,2023-03-11,Technology,Phones,West,Home Office,Second Class,93.14,6,0.2,-9.63,Phones 34
ORD-1150,2023-07-15,Office Supplies,Paper,Central,Consumer,Standard Class,1994.39,1,0.2,-228.52,Paper 11
ORD-1151,2023-01-12,Office Supplies,Storage,South,Consumer,Standard Class,1376.97,6,0.2,-231.36,Storage 47
ORD-1152,2023-11-01,Furniture,Bookcases,West,Corporate,First Class,1930.81,3,0.0,159.66,Bookcases 34
ORD-1153,2023-12-16,Furniture,Bookcases,Central,Corporate,Standard Class,110.71,1,0.3,-26.51,Bookcases 17
ORD-1154,2023-07-03,Furniture,Chairs,East,Consumer,Same Day,349.63,3,0.1,3.18,Chairs 3
ORD-1155,2023-12-20,Office Supplies,Storage,South,Consumer,Second Class,988.97,6,0.2,-210.1,Storage 48
ORD-1156,2023-08-11,Furniture,Bookcases,South,Consumer,Standard Class,1320.46,5,0.0,167.8,Bookcases 8
ORD-1157,2023-06-11,Furniture,Tables,East,Consumer,Standard Class,1376.89,2,0.1,196.08,Tables 38
ORD-1158,2023-06-22,Furniture,Bookcases,South,Consumer,Second Class,986.99,1,0.0,-18.91,Bookcases 40
ORD-1159,2023-01-13,Office Supplies,Binders,South,Corporate,Second Class,1059.54,1,0.0,58.47,Binders 39
ORD-1160,2023-02-10,Office Supplies,Paper,Central,Consumer,Same Day,1156.7,6,0.1,104.31,Paper 11
ORD-1161,2023-09-18,Furniture,Bookcases,South,Corporate,Same Day,1797.63,1,0.1,62.88,Bookcases 20
ORD-1162,2023-06-26,Office Supplies,Storage,West,Corporate,First Class,1638.91,3,0.3,-301.72,Storage 3
ORD-1163,2023-12-23,Technology,Phones,South,Consumer,Standard Class,369.8,6,0.2,-12.04,Phones 45
ORD-1164,2023-07-21,Technology,Accessories,Central,Home Office,Same Day,691.58,6,0.3,-87.63,Accessories 18
ORD-1165,2023-11-03,Office Supplies,Paper,South,Corporate,First Class,1323.86,5,0.3,-247.9,Paper 35
ORD-1166,2023-05-26,Furniture,Chairs,East,Consumer,Same Day,865.88,1,0.2,-96.3,Chairs 28
ORD-1167,2023-02-04,Office Supplies,Paper,West,Home Office,Second Class,1740.71,1,0.3,-593.9,Paper 36
ORD-1168,2023-12-03,Office Supplies,Storage,East,Corporate,Same Day,589.81,3,0.1,72.96,Storage 21
ORD-1169,2023-10-12,Technology,Phones,West,Corporate,Second Class,306.56,4,0.3,-51.94,Phones 37
ORD-1170,2023-08-07,Furniture,Tables,East,Corporate,First Class,1009.94,6,0.1,112.33,Tables 6
ORD-1171,2023-05-01,Furniture,Bookcases,South,Consumer,First Class,658.69,4,0.1,70.74,Bookcases 47
ORD-1172,2023-10-12,Technology,Computers,West,Consumer,Standard Class,1773.23,6,0.1,-89.96,Computers 5
ORD-1173,2023-11-05,Technology,Phones,Central,Consumer,Same Day,542.43,6,0.3,-128.12,Phones 37
ORD-1174,2023-12-27,Furniture,Chairs,East,Corporate,Second Class,1425.5,4,0.2,14.94,Chairs 2
ORD-1175,2023-03-06,Furniture,Bookcases,East,Consumer,First Class,500.71,2,0.0,71.1,Bookcases 5
ORD-1176,2023-02-24,Furniture,Chairs,Central,Home Office,Second Class,1190.11,4,0.1,-36.64,Chairs 34
ORD-1177,2023-06-20,Furniture,Tables,Central,Corporate,Standard Class,1947.54,3,0.1,-91.93,Tables 16
ORD-1178,2023-08-06,Office Supplies,Paper,East,Home Office,Second Class,1479.15,2,0.0,-32.29,Paper 47
ORD-1179,2023-02-18,Office Supplies,Binders,East,Corporate,Same Day,1684.32,2,0.2,-75.84,Binders 47
ORD-1180,2023-03-16,Furniture,Bookcases,West,Consumer,Same Day,1865.35,6,0.3,-274.29,Bookcases 5
ORD-1181,2023-09-01,Furniture,Tables,East,Consumer,Same Day,729.72,2,0.1,22.98,Tables 13
ORD-1182,2023-06-14,Furniture,Chairs,South,Corporate,First Class,1155.68,1,0.2,15.66,Chairs 6
ORD-1183,2023-08-22,Office Supplies,Paper,Central,Consumer,Standard Class,1761.89,3,0.0,344.19,Paper 15
ORD-1184,2023-09-01,Furniture,Tables,East,Consumer,First Class,822.54,5,0.2,-109.75,Tables 44
ORD-1185,2023-09-03,Office Supplies,Paper,East,Corporate,Same Day,1194.77,6,0.1,42.83,Paper 48
ORD-1186,2023-05-02,Office Supplies,Paper,South,Consumer,First Class,1832.76,5,0.1,-215.03,Paper 44
ORD-1187,2023-11-11,Technology,Computers,East,Consumer,First Class,1541.52,6,0.1,100.87,Computers 43
ORD-1188,2023-04-21,Technology,Computers,East,Corporate,First Class,189.0,1,0.3,-13.59,Computers 34
ORD-1189,2023-12-03,Office Supplies,Binders,South,Corporate,Same Day,1253.84,5,0.3,-186.79,Binders 30
ORD-1190,2023-11-07,Office Supplies,Paper,Central,Corporate,First Class,581.62,4,0.1,-65.98,Paper 13
ORD-1191,2023-08-04,Technology,Computers,South,Corporate,First Class,625.79,1,0.1,-59.09,Computers 1
ORD-1192,2023-05-22,Furniture,Tables,South,Consumer,Second Class,268.99,5,0.2,-15.76,Tables 9
ORD-1193,2023-08-16,Technology,Accessories,East,Corporate,First Class,390.81,1,0.0,86.67,Accessories 37
ORD-1194,2023-04-10,Office Supplies,Storage,East,Home Office,Second Class,1709.79,2,0.0,-36.49,Storage 5
ORD-1195,2023-01-22,Technology,Phones,South,Consumer,First Class,1486.9,2,0.0,22.34,Phones 35
ORD-1196,2023-09-02,Technology,Computers,South,Home Office,First Class,502.3,6,0.0,64.47,Computers 21
ORD-1197,2023-11-07,Office Supplies,Storage,South,Corporate,First Class,913.3,5,0.2,-29.81,Storage 4
ORD-1198,2023-05-01,Office Supplies,Paper,South,Home Office,Standard Class,1177.85,5,0.1,-83.08,Paper 8
ORD-1199,2023-02-28,Furniture,Bookcases,East,Home Office,Same Day,719.94,4,0.0,76.11,Bookcases 21
ORD-1200,2023-06-06,Office Supplies,Paper,West,Home Office,Same Day,1376.26,4,0.0,119.81,Paper 2
ORD-1201,2023-12-26,Office Supplies,Binders,South,Consumer,Standard Class,1991.19,6,0.3,-660.99,Binders 29
ORD-1202,2023-07-16,Technology,Computers,South,Consumer,Same Day,441.82,2,0.1,-10.25,Computers 12
ORD-1203,2023-05-20,Technology,Accessories,South,Consumer,Standard Class,507.55,4,0.2,-103.68,Accessories 30
ORD-1204,2023-06-20,Furniture,Tables,West,Consumer,Second Class,551.24,1,0.0,109.05,Tables 36
ORD-1205,2023-11-25,Furniture,Bookcases,East,Consumer,First Class,563.07,2,0.0,-13.35,Bookcases 3
ORD-1206,2023-06-11,Office Supplies,Storage,Central,Corporate,Same Day,1887.65,2,0.2,-380.31,Storage 37
ORD-1207,2023-08-10,Office Supplies,Storage,West,Corporate,Second Class,824.5,6,0.1,31.65,Storage 3
ORD-1208,2023-02-03,Technology,Accessories,West,Corporate,Same Day,207.79,5,0.2,-41.13,Accessories 18
ORD-1209,2023-01-14,Office Supplies,Binders,South,Corporate,Second Class,1171.57,5,0.1,-65.47,Binders 3
ORD-1210,2023-05-02,Technology,Phones,South,Consumer,First Class,1659.14,5,0.0,-22.35,Phones 4
ORD-1211,2023-06-11,Furniture,Chairs,West,Corporate,Same Day,1876.08,4,0.1,-125.09,Chairs 23
ORD-1212,2023-02-11,Technology,Computers,West,Consumer,First Class,169.63,3,0.1,-2.05,Computers 15
ORD-1213,2023-03-07,Furniture,Bookcases,South,Consumer,Same Day,516.4,3,0.0,-7.02,Bookcases 4
ORD-1214,2023-04-28,Technology,Phones,West,Home Office,Second Class,503.66,4,0.3,-150.03,Phones 37
ORD-1215,2023-06-14,Technology,Accessories,Central,Consumer,Standard Class,1325.45,3,0.2,-122.4,Accessories 22
ORD-1216,2023-06-15,Furniture,Tables,East,Corporate,First Class,534.73,6,0.2,-66.53,Tables 39
ORD-1217,2023-05-18,Furniture,Chairs,East,Consumer,Same Day,680.83,2,0.1,26.41,Chairs 36
ORD-1218,2023-07-21,Furniture,Bookcases,West,Corporate,Same Day,568.41,3,0.2,-56.95,Bookcases 34
ORD-1219,2023-05-10,Office Supplies,Storage,East,Consumer,Standard Class,782.98,4,0.0,68.77,Storage 17
ORD-1220,2023-10-18,Furniture,Chairs,West,Consumer,Same Day,1391.86,4,0.3,-380.81,Chairs 11
ORD-1221,2023-01-28,Technology,Accessories,Central,Consumer,First Class,803.38,6,0.3,-226.48,Accessories 5
ORD-1222,2023-11-01,Furniture,Bookcases,East,Home Office,Same Day,1376.44,5,0.3,-446.74,Bookcases 35
ORD-1223,2023-11-20,Furniture,Chairs,Central,Home Office,First Class,1041.73,2,0.2,-167.76,Chairs 28
ORD-1224,2023-08-10,Technology,Computers,West,Home Office,Same Day,853.66,5,0.1,84.65,Computers 48
ORD-1225,2023-02-03,Furniture,Bookcases,East,Corporate,Same Day,1575.85,1,0.0,101.77,Bookcases 14
ORD-1226,2023-05-04,Furniture,Chairs,South,Home Office,Same Day,1921.66,6,0.2,77.92,Chairs 2
ORD-1227,2023-01-08,Office Supplies,Binders,West,Home Office,Standard Class,1185.72,4,0.1,-132.29,Binders 25
ORD-1228,2023-04-21,Technology,Accessories,South,Home Office,Second Class,906.84,1,0.1,120.54,Accessories 49
ORD-1229,2023-12-09,Furniture,Bookcases,Central,Corporate,Standard Class,1359.34,6,0.2,18.73,Bookcases 13
ORD-1230,2023-07-12,Office Supplies,Binders,South,Home Office,Same Day,1957.87,6,0.3,-357.62,Binders 22
ORD-1231,2023-02-21,Office Supplies,Storage,Central,Home Office,Second Class,575.2,4,0.0,96.85,Storage 31
ORD-1232,2023-05-01,Technology,Computers,South,Home Office,First Class,343.82,4,0.0,25.45,Computers 19
ORD-1233,2023-05-15,Technology,Phones,South,Corporate,Second Class,232.83,4,0.2,3.06,Phones 16
ORD-1234,2023-10-02,Furniture,Chairs,Central,Consumer,Second Class,1768.83,4,0.3,-516.17,Chairs 21
ORD-1235,2023-09-20,Office Supplies,Storage,South,Corporate,Second Class,1249.21,2,0.0,78.17,Storage 26
ORD-1236,2023-05-25,Office Supplies,Paper,South,Home Office,Same Day,1673.73,6,0.1,125.3,Paper 31
ORD-1237,2023-04-20,Technology,Accessories,West,Corporate,First Class,1759.47,5,0.1,-69.51,Accessories 26
ORD-1238,2023-04-28,Furniture,Tables,East,Consumer,Same Day,854.61,5,0.1,30.66,Tables 17
ORD-1239,2023-10-23,Technology,Computers,South,Corporate,Same Day,987.9,6,0.2,-227.75,Computers 34
ORD-1240,2023-03-22,Office Supplies,Paper,South,Consumer,Same Day,1224.18,4,0.3,-310.17,Paper 30
